Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
New Jersey Nets* (3),49,33,.598,—,93.8,92.4,1.11
Philadelphia 76ers (9),38,44,.463,11.0,99.4,101.3,-2.10
Boston Celtics (11),33,49,.402,16.0,98.0,99.5,-1.59
Toronto Raptors (12),27,55,.329,22.0,101.1,104.0,-3.03
New York Knicks (15),23,59,.280,26.0,95.6,102.0,-6.30
Central Division
Detroit Pistons* (1),64,18,.780,—,96.8,90.2,6.24
Cleveland Cavaliers* (4),50,32,.610,14.0,97.6,95.4,2.17
Indiana Pacers* (6),41,41,.500,23.0,93.9,92.0,1.62
Chicago Bulls* (7),41,41,.500,23.0,97.8,97.2,0.51
Milwaukee Bucks* (8),40,42,.488,24.0,97.8,98.8,-1.07
Southeast Division
Miami Heat* (2),52,30,.634,—,99.9,96.0,3.59
Washington Wizards* (5),42,40,.512,10.0,101.7,99.8,1.57
Orlando Magic (10),36,46,.439,16.0,94.9,96.0,-1.26
Charlotte Bobcats (13),26,56,.317,26.0,96.9,100.9,-3.90
Atlanta Hawks (14),26,56,.317,26.0,97.2,102.0,-4.69
