Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Denver Nuggets* (4),53,29,.646,—,106.5,102.4,4.15
Utah Jazz* (5),53,29,.646,—,104.2,98.9,5.33
Portland Trail Blazers* (6),50,32,.610,3.0,98.1,94.8,3.18
Oklahoma City Thunder* (8),50,32,.610,3.0,101.5,98.0,3.55
Minnesota Timberwolves (15),15,67,.183,38.0,98.2,107.8,-9.06
Pacific Division
Los Angeles Lakers* (1),57,25,.695,—,101.7,97.0,4.78
Phoenix Suns* (3),54,28,.659,3.0,110.2,105.3,4.67
Los Angeles Clippers (12),29,53,.354,28.0,95.7,102.1,-6.01
Golden State Warriors (13),26,56,.317,31.0,108.8,112.4,-3.28
Sacramento Kings (14),25,57,.305,32.0,100.0,104.4,-4.06
Southwest Division
Dallas Mavericks* (2),55,27,.671,—,102.0,99.3,2.66
San Antonio Spurs* (7),50,32,.610,5.0,101.4,96.3,5.07
Houston Rockets (9),42,40,.512,13.0,102.4,102.7,-0.02
Memphis Grizzlies (10),40,42,.488,15.0,102.5,104.0,-1.39
New Orleans Hornets (11),37,45,.451,18.0,100.2,102.7,-2.27
