Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Boston Celtics* (4),50,32,.610,—,99.2,95.6,3.37
Toronto Raptors (9),40,42,.488,10.0,104.1,105.9,-1.83
New York Knicks (11),29,53,.354,21.0,102.1,105.9,-4.01
Philadelphia 76ers (13),27,55,.329,23.0,97.7,101.6,-3.93
New Jersey Nets (15),12,70,.146,38.0,92.4,101.5,-8.93
Central Division
Cleveland Cavaliers* (1),61,21,.744,—,102.1,95.6,6.17
Milwaukee Bucks* (6),46,36,.561,15.0,97.7,96.0,1.37
Chicago Bulls* (8),41,41,.500,20.0,97.5,99.1,-1.64
Indiana Pacers (10),32,50,.390,29.0,100.8,103.8,-3.11
Detroit Pistons (12),27,55,.329,34.0,94.0,99.1,-5.02
Southeast Division
Orlando Magic* (2),59,23,.720,—,102.8,95.3,7.12
Atlanta Hawks* (3),53,29,.646,6.0,101.7,97.0,4.44
Miami Heat* (5),47,35,.573,12.0,96.5,94.2,1.99
Charlotte Bobcats* (7),44,38,.537,15.0,95.3,93.8,1.30
Washington Wizards (14),26,56,.317,33.0,96.2,101.0,-4.72
