Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
New Jersey Nets* (2),47,35,.573,—,90.3,87.8,1.88
Miami Heat* (4),42,40,.512,5.0,90.3,89.7,-0.13
New York Knicks* (7),39,43,.476,8.0,92.0,93.5,-1.97
Boston Celtics* (8),36,46,.439,11.0,95.3,96.7,-1.99
Philadelphia 76ers (11),33,49,.402,14.0,88.0,90.5,-2.95
Washington Wizards (13),25,57,.305,22.0,91.8,97.4,-6.12
Orlando Magic (15),21,61,.256,26.0,94.0,101.1,-7.25
Central Division
Indiana Pacers* (1),61,21,.744,—,91.4,85.6,4.93
Detroit Pistons* (3),54,28,.659,7.0,90.1,84.3,5.04
New Orleans Hornets* (5),41,41,.500,20.0,91.8,91.9,-0.72
Milwaukee Bucks* (6),41,41,.500,20.0,98.0,97.0,0.42
Cleveland Cavaliers (9),35,47,.427,26.0,92.9,95.5,-3.07
Toronto Raptors (10),33,49,.402,28.0,85.4,88.5,-3.42
Atlanta Hawks (12),28,54,.341,33.0,92.8,97.5,-5.00
Chicago Bulls (14),23,59,.280,38.0,89.7,96.0,-6.69
