Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Midwest Division
San Antonio Spurs* (1),60,22,.732,—,95.8,90.4,5.65
Dallas Mavericks* (3),60,22,.732,—,103.0,95.2,7.90
Minnesota Timberwolves* (4),51,31,.622,9.0,98.1,96.0,2.46
Utah Jazz* (7),47,35,.573,13.0,94.7,92.3,2.76
Houston Rockets (9),43,39,.524,17.0,93.8,92.3,1.89
Memphis Grizzlies (12),28,54,.341,32.0,97.5,100.7,-2.60
Denver Nuggets (14),17,65,.207,43.0,84.2,92.4,-7.41
Pacific Division
Sacramento Kings* (2),59,23,.720,—,101.7,95.2,6.68
Los Angeles Lakers* (5),50,32,.610,9.0,100.4,98.0,2.71
Portland Trail Blazers* (6),50,32,.610,9.0,95.2,92.5,2.97
Phoenix Suns* (8),44,38,.537,15.0,95.5,94.4,1.57
Seattle SuperSonics (10),40,42,.488,19.0,92.1,92.3,0.37
Golden State Warriors (11),38,44,.463,21.0,102.4,103.6,-0.60
Los Angeles Clippers (13),27,55,.329,32.0,93.8,97.9,-3.45
