Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Denver Nuggets* (3),44,38,.537,—,100.3,100.1,0.36
Utah Jazz (9),41,41,.500,3.0,92.4,95.0,-2.49
Seattle SuperSonics (11),35,47,.427,9.0,102.6,105.6,-2.88
Minnesota Timberwolves (14),33,49,.402,11.0,91.7,93.6,-1.75
Portland Trail Blazers (15),21,61,.256,23.0,88.8,98.3,-8.91
Pacific Division
Phoenix Suns* (2),54,28,.659,—,108.4,102.8,5.48
Los Angeles Clippers* (6),47,35,.573,7.0,97.2,95.6,1.75
Los Angeles Lakers* (7),45,37,.549,9.0,99.4,96.9,2.53
Sacramento Kings* (8),44,38,.537,10.0,98.9,97.3,1.61
Golden State Warriors (13),34,48,.415,20.0,98.5,99.8,-1.11
Southwest Division
San Antonio Spurs* (1),63,19,.768,—,95.6,88.8,6.69
Dallas Mavericks* (4),60,22,.732,3.0,99.1,93.1,5.96
Memphis Grizzlies* (5),49,33,.598,14.0,92.2,88.5,3.74
New Orleans/Oklahoma City Hornets (10),38,44,.463,25.0,92.8,95.6,-2.51
Houston Rockets (12),34,48,.415,29.0,90.1,91.7,-1.30
