Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Boston Celtics* (3),45,37,.549,—,101.3,100.4,0.35
Philadelphia 76ers* (7),43,39,.524,2.0,99.1,99.9,-1.07
New Jersey Nets* (8),42,40,.512,3.0,91.4,92.9,-1.82
Toronto Raptors (11),33,49,.402,12.0,99.7,101.4,-1.81
New York Knicks (12),33,49,.402,12.0,97.3,99.7,-2.72
Central Division
Detroit Pistons* (2),54,28,.659,—,93.3,89.5,3.31
Chicago Bulls* (4),47,35,.573,7.0,94.5,93.4,0.65
Indiana Pacers* (6),44,38,.537,10.0,93.0,92.2,0.49
Cleveland Cavaliers (9),42,40,.512,12.0,96.5,95.7,0.27
Milwaukee Bucks (13),30,52,.366,24.0,97.2,100.2,-3.09
Southeast Division
Miami Heat* (1),59,23,.720,—,101.5,95.0,5.77
Washington Wizards* (5),45,37,.549,14.0,100.5,100.8,-0.71
Orlando Magic (10),36,46,.439,23.0,99.5,101.8,-2.52
Charlotte Bobcats (14),18,64,.220,41.0,94.3,100.2,-6.15
Atlanta Hawks (15),13,69,.159,46.0,92.7,102.5,-9.62
